4-1	僕はもう夢中。
857-1	ＫＡＴ−ＴＵＮは３０万なんてすぐ越すのにね
859-1	あなたの叔母は英語を話しますか？
859-0	英語をあなたの叔母は話しますか？
863-0	ＫＯをザンビが奪うと予想。
863-1	ザンビがＫＯを奪うと予想。
866-0	２０件の駐車場が兵庫県伊丹市伊丹の周辺に見つかりました
866-1	兵庫県伊丹市伊丹の周辺に２０件の駐車場が見つかりました
867-0	歴史をここで語るつもりはない。
867-1	ここで歴史を語るつもりはない。
873-0	力ある人だから鈴木修会長は大丈夫！
873-1	鈴木修会長は力ある人だから大丈夫！
877-1	ｓｓ速報はキモいゴミが沢山いるなぁ
877-0	ｓｓ速報は沢山キモいゴミがいるなぁ
881-1	確か欧州も期限はありますよ。
881-0	欧州も期限は確かありますよ。
886-0	函館シリーズでの１２００適性はやはり伊達ではなかった。
886-1	やはり函館シリーズでの１２００適性は伊達ではなかった。
888-0	夕陽もちょっとしょぼいけど綺麗でした。
888-1	ちょっとしょぼいけど夕陽も綺麗でした。
892-0	岩手のダムは検討対象になぜならないの？
892-1	なぜ岩手のダムは検討対象にならないの？
895-1	こういう場合はどの勘定科目が適切なのでしょうか？
895-0	どの勘定科目がこういう場合は適切なのでしょうか？
905-0	怒るだろうなぁ神経質な人は＾＾；
905-1	神経質な人は怒るだろうなぁ＾＾；
907-0	半年で人間って変われるんですね。
907-1	人間って半年で変われるんですね。
909-1	ジェネシスはスイスでリハーサルを開始！
909-0	スイスでリハーサルをジェネシスは開始！
910-1	痛がる奴に同情は無用だ。
910-0	同情は痛がる奴に無用だ。
916-0	夏とやっぱりいえば浴衣に花火デスヨネエエエ！！！
916-1	やっぱり夏といえば浴衣に花火デスヨネエエエ！！！
917-0	ホテルで私はチビと寝てましたが。
917-1	私はホテルでチビと寝てましたが。
918-0	手間は要するにどうしてもかかるものなのです。
918-1	要するに手間はどうしてもかかるものなのです。
921-0	朝食時のみレストランは営業。
921-1	レストランは朝食時のみ営業。
926-0	見えませんよぉアイテムはあんまり＾＾
926-1	アイテムはあんまり見えませんよぉ＾＾
929-0	何なら兎をアサリさんも被りませんか？
929-1	何ならアサリさんも兎を被りませんか？
930-0	すでに夏休みの計画を明日香は立てたのだろう。
930-1	明日香はすでに夏休みの計画を立てたのだろう。
931-0	美形はやっぱりおいしいな！！！
931-1	やっぱり美形はおいしいな！！！
937-0	ＲＫＢ毎日放送局に黒川小の５年生は，行ったそうです。
937-1	黒川小の５年生は，ＲＫＢ毎日放送局に行ったそうです。
938-0	大好評で味もおいしいとひと安心。
938-1	味もおいしいと大好評でひと安心。
939-0	こいつで今日のＢＧＭは決まり！
939-1	今日のＢＧＭはこいつで決まり！
940-1	少し駅から遠いが県内ではいい方
940-0	県内では駅から少し遠いがいい方
941-0	ちょっと体温より低めがいいですね〜
941-1	体温よりちょっと低めがいいですね〜
947-0	この板が嫌韓のステマだと私は思います
947-1	私はこの板が嫌韓のステマだと思います
953-0	王府が浦添にまだあった頃でしょ。
953-1	まだ王府が浦添にあった頃でしょ。
960-0	みんなスト２はやってたからね
960-1	スト２はみんなやってたからね
963-1	空の旅のお供に空弁を物色。
963-0	空弁を空の旅のお供に物色。
967-0	お魚料理がきっと淡路島の皆さんはお上手なんでしょうね。
967-1	きっと淡路島の皆さんはお魚料理がお上手なんでしょうね。
971-1	私の頭の中では終始ボケとノリツッコミが繰り返されています。
971-0	終始ボケとノリツッコミが私の頭の中では繰り返されています。
975-0	僕の体験をここでは記したい。
975-1	ここでは僕の体験を記したい。
985-0	２人のプレゼントを今回も用意しました。
985-1	今回も２人のプレゼントを用意しました。
989-0	エアコンの風に弱いんだよ俺はっ！
989-1	俺はエアコンの風に弱いんだよっ！
991-0	全く異常は彼氏の性器にもないようです。
991-1	彼氏の性器にも全く異常はないようです。
1008-0	口を扇子で隠してるの
1008-1	扇子で口を隠してるの
1009-0	バッドマンはＤＣなのか結局マーブルなのか？
1009-1	結局バッドマンはＤＣなのかマーブルなのか？
1010-0	時間をたとえばずらしたりしても駄目でしょうか？
1010-1	たとえば時間をずらしたりしても駄目でしょうか？
1011-0	ユシノキへ話を戻す。
1011-1	話をユシノキへ戻す。
1015-0	ボールペンでも最近は引っかかりますよ。
1015-1	最近はボールペンでも引っかかりますよ。
1020-0	過去にもしかしたら出演経験アリかも。
1020-1	もしかしたら過去に出演経験アリかも。
1021-1	おいらは店の軒下に避難してました。
1021-0	店の軒下においらは避難してました。
1025-1	今日は兄から電話があった。
1025-0	今日は電話が兄からあった。
1027-0	４４円台から６９円台にＮＺＤ／ＪＰＹが乗せたのにはそうとうなお金が
1027-1	ＮＺＤ／ＪＰＹが４４円台から６９円台に乗せたのにはそうとうなお金が
1028-1	横浜線快速通過駅で快速停車駅より利用者が多い駅はありますか？
1028-0	快速停車駅より利用者が横浜線快速通過駅で多い駅はありますか？
1029-0	既にお申し込みを大勢の方からいただいております。
1029-1	既に大勢の方からお申し込みをいただいております。
1031-0	たくさん居酒屋が大好きな女性もいます。
1031-1	居酒屋が大好きな女性もたくさんいます。
1033-0	よほど野球やってる方が健全
1033-1	野球やってる方がよほど健全
1034-0	車で東北自動車道古川ＩＣより約１０分。
1034-1	東北自動車道古川ＩＣより車で約１０分。
1035-1	スイッチバックはなかなか新鮮でした。
1035-0	なかなかスイッチバックは新鮮でした。
1039-1	素人目でみても内容が薄すぎる。
1039-0	内容が素人目でみても薄すぎる。
1055-1	ドイツＷ杯で一番輝いた日本人はこの人。
1055-0	一番ドイツＷ杯で輝いた日本人はこの人。
1056-0	対立はもはやナィです☆
1056-1	もはや対立はナィです☆
1063-1	そのあとの予定は全く立っていない。
1063-0	全くそのあとの予定は立っていない。
1065-1	加護亜依も悲鳴をあげた。
1065-0	悲鳴を加護亜依もあげた。
1067-1	洋服もいっぱい欲しいし
1067-0	いっぱい洋服も欲しいし
1073-0	おまけになかなかお庭も良い感じでありました
1073-1	おまけにお庭もなかなか良い感じでありました
1075-1	たぶん互換性はありません。
1075-0	互換性はたぶんありません。
1077-1	メインアリーナにも馬がいません。
1077-0	馬がメインアリーナにもいません。
1083-1	Ｔシャツ以外にも様々な形でプリントアイテムを展開しています。
1083-0	プリントアイテムをＴシャツ以外にも様々な形で展開しています。
1086-1	郵政民営化は小泉元首相の持論で悲願。
1086-0	小泉元首相の持論で郵政民営化は悲願。
1087-1	その方はお父さんから同じことを言われたそうです。
1087-0	お父さんから同じことをその方は言われたそうです。
1089-1	韓国には二度と謝罪をしてはいけない。
1089-0	韓国には謝罪を二度としてはいけない。
1090-0	宿に結局到着したのは７時少し前。
1090-1	結局宿に到着したのは７時少し前。
1092-0	複数の落車がこのステージでも発生した
1092-1	このステージでも複数の落車が発生した
1093-0	これ以上のものは摘みたてだからないでしょう！
1093-1	摘みたてだからこれ以上のものはないでしょう！
1094-1	何故そういう話になるのかな？
1094-0	そういう話に何故なるのかな？
1095-0	関東ももう少しで明けるみたいですよ
